manufacturer,model,variant,tail_number,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
Vultee,BT-13,A,,Valiant,,fixed_wing,monoplane,military,trainer,1942,,serial not established;the commonly cited 42-4130 belonged to an AT-6D so the identity is disputed,Goodfellow AFB Static Display Hub,on_display
Douglas,C-47,A,42-108866,Skytrain,,fixed_wing,monoplane,military,recon,1944,,c/n 12508;ex-civil N53425;built as a C-47A and converted to C-117C;given a cosmetic EC-47Q conversion in 2005 with a simulated radome and dummy antennas at a cost of 89890 dollars;wears the markings of 43-15204 which flew the last ARDF mission from Ubon in May 1974;relocated from the Pate Museum,Goodfellow AFB Static Display Hub,on_display
Northrop Grumman,RQ-4,A,02-2013,Global Hawk,,fixed_wing,monoplane,military,drone,2002,,Block 10;unmanned,Goodfellow AFB Static Display Hub,on_display
Kaman,H-43,B,58-1841,Huskie,,rotary_wing,,military,search_rescue,1959,,HH-43B;intermeshing rotors;crash rescue and firefighting,Goodfellow AFB Static Display Hub,on_display
Mikoyan-Gurevich,MiG-23,ML,20+20,Flogger,,fixed_wing,monoplane,military,fighter,1981,,c/n 0390324618;Soviet-built at MMZ Znamya Truda Moscow;the MiG-23 was never licence-built outside the USSR;ex-East German NVA then Luftwaffe,Goodfellow AFB Static Display Hub,on_display
Mikoyan-Gurevich,MiG-29,,2960512124,Fulcrum,,fixed_wing,monoplane,military,fighter,1990,,bort 27 white;Soviet-built at MAPO Moscow;ex-Moldovan Air Force from the 21 aircraft the US purchased in October 1997 under Cooperative Threat Reduction,Goodfellow AFB Static Display Hub,on_display
General Atomics,RQ-1,K,95-3013,Predator,,fixed_wing,monoplane,military,drone,1996,,unmanned;displayed on Kearney Blvd,Goodfellow AFB Static Display Hub,on_display
McDonnell Douglas,F-4,C,69-0367,Phantom II,,fixed_wing,monoplane,military,recon,1970,,RF-4C-43-MC;c/n 3853;code ZR,Goodfellow AFB Static Display Hub,on_display
North American,T-6,G,51-14319,Texan,,fixed_wing,monoplane,military,trainer,1951,,the 51 serial is a remanufacture number since the T-6G was a rebuild programme,Goodfellow AFB Static Display Hub,on_display
North American,T-28,A,49-1679,Trojan,,fixed_wing,monoplane,military,trainer,1950,,,Goodfellow AFB Static Display Hub,on_display
North American,B-25,J,44-28875,Mitchell,,fixed_wing,monoplane,military,bomber,1944,,TB-25N;c/n 108-32150;the only publicly viewable airframe on the base near the main gate,Goodfellow AFB Static Display Hub,on_display
